amp,freq,stime,stime_minimum,gene_id,prc2
100,0.6,"Any[112.1, 112.0, 111.9, 111.6, 111.6, 112.0, 112.1, 112.1, 112.0, 111.9, 111.6, 111.6, 112.0, 112.1, 112.1]",111.6,49,0.35
100,0.7,"Any[112.1, 112.0, 111.8, 111.9, 112.0, 112.1, 112.2, 112.1, 112.0, 111.8, 111.9, 112.0, 112.1, 112.2, 112.1]",111.8,49,0.35
100,0.8,"Any[112.0, 111.8, 112.0, 112.1, 112.2, 112.2, 112.2, 112.0, 111.8, 112.0, 112.1, 112.2, 112.2, 112.2, 112.0]",111.8,49,0.35
100,0.9,"Any[112.0, 112.1, 112.2, 112.2, 112.2, 112.2, 112.1, 112.0, 112.1, 112.2, 112.2, 112.2, 112.2, 112.1, 112.0]",112.0,49,0.35
100,1.0,"Any[112.1, 112.2, 112.3, 112.3, 112.2, 112.0, 112.0, 112.1, 112.2, 112.3, 112.3, 112.2, 112.0, 112.0, 112.1]",112.0,49,0.35
100,1.1,"Any[112.2, 112.3, 112.2, 112.2, 112.0, 112.1, 112.2, 112.2, 112.3, 112.2, 112.2, 112.0, 112.1, 112.2, 112.2]",112.0,49,0.35
100,1.2,"Any[112.3, 112.3, 112.2, 112.1, 112.1, 112.2, 112.3, 112.3, 112.3, 112.2, 112.1, 112.1, 112.2, 112.3, 112.3]",112.1,49,0.35
100,1.3,"Any[112.2, 112.1, 112.1, 112.2, 112.2, 112.3, 112.3, 112.2, 112.1, 112.1, 112.2, 112.2, 112.3, 112.3, 112.2]",112.1,49,0.35
100,1.4,"Any[112.1, 112.1, 112.2, 112.2, 112.3, 112.3, 112.3, 112.1, 112.1, 112.2, 112.2, 112.3, 112.3, 112.3, 112.1]",112.1,49,0.35
100,1.5,"Any[112.1, 112.2, 112.3, 112.3, 112.3, 112.3, 112.1, 112.1, 112.2, 112.3, 112.3, 112.3, 112.3, 112.1, 112.1]",112.1,49,0.35
