freq,amp,stime
0.18,74,8.55
0.2,74,8.55
0.22,74,8.55
0.24,74,8.55
0.26,74,8.55
0.28,74,8.55
0.3,74,8.55
0.32,74,8.55
0.34,74,8.55
0.36,74,8.55
0.38,74,8.58
0.4,74,8.64
0.42,74,8.81
0.44,74,9.14
0.46,74,9.88
0.48,74,11.43
0.5,74,18.63
0.52,74,21.22
0.54,74,28.22
0.56,74,34.01
0.58,74,47.76
0.6,74,73.2
0.0,75,8.54
0.02,75,8.52
0.04,75,8.52
0.06,75,8.52
0.08,75,8.52
0.1,75,8.52
0.12,75,8.52
0.14,75,8.52
0.16,75,8.52
0.18,75,8.52
0.2,75,8.52
0.22,75,8.52
0.24,75,8.52
0.26,75,8.52
0.28,75,8.52
0.3,75,8.52
0.32,75,8.52
0.34,75,8.52
0.36,75,8.52
0.38,75,8.53
0.4,75,8.61
0.42,75,8.73
0.44,75,9.09
0.46,75,9.69
0.48,75,11.0
0.5,75,17.54
0.52,75,20.62
0.54,75,25.8
0.56,75,31.85
0.58,75,42.18
0.6,75,62.22
0.0,76,8.5
0.02,76,8.48
0.04,76,8.48
0.06,76,8.48
0.08,76,8.48
0.1,76,8.48
0.12,76,8.48
0.14,76,8.48
0.16,76,8.48
0.18,76,8.48
0.2,76,8.48
0.22,76,8.48
0.24,76,8.48
0.26,76,8.48
0.28,76,8.48
0.3,76,8.48
0.32,76,8.48
0.34,76,8.48
0.36,76,8.48
0.38,76,8.49
0.4,76,8.52
0.42,76,8.71
0.44,76,8.96
0.46,76,9.51
0.48,76,10.67
0.5,76,16.06
0.52,76,20.11
0.54,76,23.66
0.56,76,30.63
0.58,76,39.87
0.6,76,56.19
0.62,76,101.27
0.0,77,8.45
0.02,77,8.44
0.04,77,8.44
0.06,77,8.44
0.08,77,8.44
0.1,77,8.44
0.12,77,8.44
0.14,77,8.44
0.16,77,8.44
0.18,77,8.44
0.2,77,8.44
0.22,77,8.44
0.24,77,8.44
0.26,77,8.44
0.28,77,8.44
0.3,77,8.44
0.32,77,8.44
0.34,77,8.44
0.36,77,8.44
0.38,77,8.45
0.4,77,8.5
0.42,77,8.6
0.44,77,8.92
0.46,77,9.43
0.48,77,10.39
0.5,77,14.45
0.52,77,19.65
0.54,77,22.35
0.56,77,29.57
0.58,77,38.01
0.6,77,49.77
0.62,77,79.74
0.0,78,8.4
0.02,78,8.4
0.04,78,8.4
0.06,78,8.4
0.08,78,8.4
0.1,78,8.4
0.12,78,8.4
0.14,78,8.4
0.16,78,8.4
0.18,78,8.4
0.2,78,8.4
0.22,78,8.4
0.24,78,8.4
0.26,78,8.4
0.28,78,8.4
0.3,78,8.4
0.32,78,8.4
0.34,78,8.4
0.36,78,8.4
0.38,78,8.39
0.4,78,8.44
0.42,78,8.57
0.44,78,8.84
0.46,78,9.27
0.48,78,10.24
0.5,78,13.3
0.52,78,19.22
0.54,78,21.48
0.56,78,28.63
0.58,78,35.01
0.6,78,46.76
0.62,78,67.96
0.0,79,8.36
0.02,79,8.36
0.04,79,8.36
0.06,79,8.36
0.08,79,8.36
0.1,79,8.36
0.12,79,8.36
0.14,79,8.36
0.16,79,8.36
0.18,79,8.36
0.2,79,8.36
0.22,79,8.36
0.24,79,8.36
0.26,79,8.36
0.28,79,8.36
0.3,79,8.36
0.32,79,8.36
0.34,79,8.36
0.36,79,8.36
0.38,79,8.36
0.4,79,8.41
0.42,79,8.53
0.44,79,8.76
0.46,79,9.22
0.48,79,10.02
0.5,79,12.37
0.52,79,18.77
0.54,79,20.9
0.56,79,27.49
0.58,79,32.1
0.6,79,41.84
0.62,79,59.24
0.0,80,8.32
0.02,80,8.32
0.04,80,8.32
0.06,80,8.32
0.08,80,8.32
0.1,80,8.32
0.12,80,8.32
0.14,80,8.32
0.16,80,8.32
0.18,80,8.32
0.2,80,8.32
0.22,80,8.32
0.24,80,8.32
0.26,80,8.32
0.28,80,8.32
0.3,80,8.32
0.32,80,8.32
0.34,80,8.32
0.36,80,8.32
0.38,80,8.33
0.4,80,8.34
0.42,80,8.44
0.44,80,8.64
0.46,80,9.08
0.48,80,9.82
0.5,80,11.79
0.52,80,18.24
0.54,80,20.42
0.56,80,25.85
0.58,80,30.59
0.6,80,39.41
0.62,80,54.54
0.64,80,89.29
0.0,81,8.29
0.02,81,8.28
0.04,81,8.28
0.06,81,8.28
0.08,81,8.28
0.1,81,8.28
0.12,81,8.28
0.14,81,8.28
0.16,81,8.28
0.18,81,8.28
0.2,81,8.28
0.22,81,8.28
0.24,81,8.28
0.26,81,8.28
0.28,81,8.28
0.3,81,8.28
0.32,81,8.28
0.34,81,8.28
0.36,81,8.28
0.38,81,8.29
0.4,81,8.32
0.42,81,8.42
0.44,81,8.62
0.46,81,9.03
0.48,81,9.71
0.5,81,11.25
0.52,81,17.58
0.54,81,19.9
0.56,81,23.91
0.58,81,29.65
0.6,81,37.85
0.62,81,48.82
0.64,81,75.1
0.0,82,8.25
0.02,82,8.25
0.04,82,8.25
0.06,82,8.25
0.08,82,8.25
0.1,82,8.25
0.12,82,8.25
0.14,82,8.25
0.16,82,8.25
0.18,82,8.25
0.2,82,8.25
0.22,82,8.25
0.24,82,8.25
0.26,82,8.25
0.28,82,8.25
0.3,82,8.25
0.32,82,8.25
0.34,82,8.25
0.36,82,8.25
0.38,82,8.26
0.4,82,8.27
0.42,82,8.33
0.44,82,8.51
0.46,82,8.85
0.48,82,9.53
0.5,82,10.91
0.52,82,16.74
0.54,82,19.53
0.56,82,22.47
0.58,82,28.83
0.6,82,36.23
0.62,82,46.25
0.64,82,65.44
0.0,83,8.22
0.02,83,8.22
0.04,83,8.22
0.06,83,8.22
0.08,83,8.22
0.1,83,8.22
0.12,83,8.22
0.14,83,8.22
0.16,83,8.22
0.18,83,8.22
0.2,83,8.22
0.22,83,8.22
0.24,83,8.22
