freq,amp,stime,prc2,gene_id
0.8,50,3.75,0.15,49
0.85,50,3.75,0.15,49
0.9,50,3.75,0.15,49
0.95,50,3.77,0.15,49
1.0,50,3.77,0.15,49
0.0,100,3.53,0.15,49
0.05,100,3.56,0.15,49
0.1,100,3.56,0.15,49
0.15,100,3.56,0.15,49
0.2,100,3.56,0.15,49
0.25,100,3.56,0.15,49
0.3,100,3.56,0.15,49
0.35,100,3.56,0.15,49
0.4,100,3.56,0.15,49
0.45,100,3.56,0.15,49
0.5,100,3.56,0.15,49
0.55,100,3.56,0.15,49
0.6,100,3.56,0.15,49
0.65,100,3.56,0.15,49
0.7,100,3.56,0.15,49
0.75,100,3.56,0.15,49
0.8,100,3.56,0.15,49
0.85,100,3.56,0.15,49
0.9,100,3.55,0.15,49
0.95,100,3.55,0.15,49
1.0,100,3.57,0.15,49
0.0,150,3.45,0.15,49
0.05,150,3.48,0.15,49
0.1,150,3.48,0.15,49
0.15,150,3.48,0.15,49
0.2,150,3.48,0.15,49
0.25,150,3.48,0.15,49
0.3,150,3.48,0.15,49
0.35,150,3.48,0.15,49
0.4,150,3.48,0.15,49
0.45,150,3.48,0.15,49
0.5,150,3.48,0.15,49
0.55,150,3.48,0.15,49
0.6,150,3.48,0.15,49
0.65,150,3.48,0.15,49
0.7,150,3.48,0.15,49
0.75,150,3.48,0.15,49
0.8,150,3.48,0.15,49
0.85,150,3.48,0.15,49
0.9,150,3.47,0.15,49
0.95,150,3.46,0.15,49
1.0,150,3.49,0.15,49
0.0,200,3.42,0.15,49
0.05,200,3.41,0.15,49
0.1,200,3.41,0.15,49
0.15,200,3.41,0.15,49
0.2,200,3.41,0.15,49
0.25,200,3.41,0.15,49
0.3,200,3.41,0.15,49
0.35,200,3.41,0.15,49
0.4,200,3.41,0.15,49
0.45,200,3.41,0.15,49
0.5,200,3.41,0.15,49
0.55,200,3.41,0.15,49
0.6,200,3.41,0.15,49
0.65,200,3.41,0.15,49
0.7,200,3.41,0.15,49
0.75,200,3.41,0.15,49
0.8,200,3.41,0.15,49
0.85,200,3.41,0.15,49
0.9,200,3.41,0.15,49
0.95,200,3.42,0.15,49
1.0,200,3.43,0.15,49
0.0,250,3.38,0.15,49
0.05,250,3.41,0.15,49
0.1,250,3.41,0.15,49
0.15,250,3.41,0.15,49
0.2,250,3.41,0.15,49
0.25,250,3.41,0.15,49
0.3,250,3.41,0.15,49
0.35,250,3.41,0.15,49
0.4,250,3.41,0.15,49
0.45,250,3.41,0.15,49
0.5,250,3.41,0.15,49
0.55,250,3.41,0.15,49
0.6,250,3.41,0.15,49
0.65,250,3.41,0.15,49
0.7,250,3.41,0.15,49
0.75,250,3.41,0.15,49
0.8,250,3.41,0.15,49
0.85,250,3.41,0.15,49
0.9,250,3.41,0.15,49
0.95,250,3.4,0.15,49
1.0,250,3.41,0.15,49
0.0,300,3.36,0.15,49
0.05,300,3.4,0.15,49
0.1,300,3.4,0.15,49
0.15,300,3.4,0.15,49
0.2,300,3.4,0.15,49
0.25,300,3.4,0.15,49
0.3,300,3.4,0.15,49
0.35,300,3.4,0.15,49
0.4,300,3.4,0.15,49
0.45,300,3.4,0.15,49
0.5,300,3.4,0.15,49
0.55,300,3.4,0.15,49
0.6,300,3.4,0.15,49
0.65,300,3.4,0.15,49
0.7,300,3.4,0.15,49
0.75,300,3.4,0.15,49
0.8,300,3.4,0.15,49
0.85,300,3.4,0.15,49
0.9,300,3.4,0.15,49
0.95,300,3.39,0.15,49
1.0,300,3.4,0.15,49
0.0,0,26.9,0.2,49
0.05,0,26.9,0.2,49
0.1,0,26.9,0.2,49
0.15,0,26.9,0.2,49
0.2,0,26.9,0.2,49
0.25,0,26.9,0.2,49
0.3,0,26.9,0.2,49
0.35,0,26.9,0.2,49
0.4,0,26.9,0.2,49
0.45,0,26.9,0.2,49
0.5,0,26.9,0.2,49
0.55,0,26.9,0.2,49
0.6,0,26.9,0.2,49
0.65,0,26.9,0.2,49
0.7,0,26.9,0.2,49
0.75,0,26.9,0.2,49
0.8,0,26.9,0.2,49
0.85,0,26.9,0.2,49
0.9,0,26.9,0.2,49
0.95,0,26.9,0.2,49
1.0,0,26.9,0.2,49
0.0,50,4.79,0.2,49
0.05,50,4.77,0.2,49
0.1,50,4.77,0.2,49
0.15,50,4.77,0.2,49
0.2,50,4.77,0.2,49
0.25,50,4.77,0.2,49
0.3,50,4.77,0.2,49
0.35,50,4.77,0.2,49
0.4,50,4.77,0.2,49
0.45,50,4.77,0.2,49
0.5,50,4.77,0.2,49
0.55,50,4.77,0.2,49
0.6,50,4.77,0.2,49
0.65,50,4.77,0.2,49
0.7,50,4.79,0.2,49
0.75,50,4.8,0.2,49
0.8,50,4.86,0.2,49
0.85,50,4.92,0.2,49
0.9,50,4.99,0.2,49
0.95,50,5.16,0.2,49
1.0,50,5.25,0.2,49
0.0,100,4.39,0.2,49
0.05,100,4.38,0.2,49
0.1,100,4.38,0.2,49
0.15,100,4.38,0.2,49
0.2,100,4.38,0.2,49
0.25,100,4.38,0.2,49
0.3,100,4.38,0.2,49
0.35,100,4.38,0.2,49
0.4,100,4.38,0.2,49
0.45,100,4.38,0.2,49
0.5,100,4.38,0.2,49
0.55,100,4.38,0.2,49
0.6,100,4.38,0.2,49
0.65,100,4.38,0.2,49
0.7,100,4.38,0.2,49
0.75,100,4.39,0.2,49
0.8,100,4.37,0.2,49
0.85,100,4.4,0.2,49
0.9,100,4.45,0.2,49
0.95,100,4.57,0.2,49
1.0,100,4.61,0.2,49
0.0,150,4.23,0.2,49
0.05,150,4.25,0.2,49
0.1,150,4.25,0.2,49
0.15,150,4.25,0.2,49
0.2,150,4.25,0.2,49
0.25,150,4.25,0.2,49
0.3,150,4.25,0.2,49
0.35,150,4.25,0.2,49
0.4,150,4.25,0.2,49
0.45,150,4.25,0.2,49
0.5,150,4.25,0.2,49
0.55,150,4.25,0.2,49
0.6,150,4.25,0.2,49
0.65,150,4.25,0.2,49
0.7,150,4.25,0.2,49
0.75,150,4.23,0.2,49
0.8,150,4.23,0.2,49
0.85,150,4.25,0.2,49
0.9,150,4.31,0.2,49
0.95,150,4.36,0.2,49
1.0,150,4.4,0.2,49
0.0,200,4.13,0.2,49
0.05,200,4.15,0.2,49
0.1,200,4.15,0.2,49
0.15,200,4.15,0.2,49
0.2,200,4.15,0.2,49
0.25,200,4.15,0.2,49
0.3,200,4.15,0.2,49
0.35,200,4.15,0.2,49
0.4,200,4.15,0.2,49
0.45,200,4.15,0.2,49
0.5,200,4.15,0.2,49
0.55,200,4.15,0.2,49
0.6,200,4.15,0.2,49
0.65,200,4.15,0.2,49
0.7,200,4.15,0.2,49
0.75,200,4.15,0.2,49
0.8,200,4.16,0.2,49
0.85,200,4.18,0.2,49
0.9,200,4.17,0.2,49
0.95,200,4.27,0.2,49
